COMPANY,MODEL_ID,MODEL_NAME,TARGET_DATABASE,TARGET_SCHEMA,TARGET_TABLE,SOURCE_DATABASE,SOURCE_SCHEMA,SOURCE_TABLE,SOURCE_JOIN_FILTER_CONDITION,LOAD_RUN_TYPE,LOADER,LOAD_SOURCE_INSERT_COLUMN,SCHEMA_FILTER,IS_COMPLETED,IS_ACTIVE,INSERT_DATE,UPDATE_DATE
AL,FACILITY_AL,FACILITY_AL,DEV_BASE_DB,RV,SAT_FACILITY_AL,STITCH_LANDING_DB,ALICE_ALICE,FACILITY,RECORD_FACILITY_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
AL,FACILITY_GROUP_AL,FACILITY_GROUP_AL,DEV_BASE_DB,RV,SAT_FACILITY_GROUP_AL,STITCH_LANDING_DB,ALICE_ALICE,FACILITY_GROUP,RECORD_FACILITY_GROUP_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
AL,CITY_AL,CITY_AL,DEV_BASE_DB,RV,SAT_CITY_AL,STITCH_LANDING_DB,ALICE_ALICE,CITY,RECORD_CITY_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
AL,SITE_GROUP_ENTITY_VISIBILITY_AL,SITE_GROUP_ENTITY_VISIBILITY_AL,DEV_BASE_DB,RV,SAT_SITE_GROUP_ENTITY_VISIBILITY_AL,STITCH_LANDING_DB,ALICE_ALICE,HOTEL_GROUP_ENTITY_VISIBILITY,RECORD_SITE_GROUP_ENTITY_VISIBILITY_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
AL,SITE_GROUP_SITE_AL,SITE_GROUP_SITE_AL,DEV_BASE_DB,RV,LNKSAT_SITE_GROUP_SITE_AL,STITCH_LANDING_DB,ALICE_ALICE,HOTEL_GROUP_HOTEL,RECORD_SITE_GROUP_SITE_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
AL,LOCATION_LOCATION_GROUP_AL,LOCATION_LOCATION_GROUP_AL,DEV_BASE_DB,RV,LNKSAT_LOCATION_LOCATION_GROUP_AL,STITCH_LANDING_DB,ALICE_ALICE,LOCATION_LOCATION_GROUP,RECORD_LOCATION_LOCATION_GROUP_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
AL,DASHBOARD_SITE_AL,DASHBOARD_SITE_AL,DEV_BASE_DB,RV,LNKSAT_DASHBOARD_SITE_AL,STITCH_LANDING_DB,ALICE_ALICE,DASHBOARD_HOTEL,RECORD_DASHBOARD_SITE_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
AL,DASHBOARD_SITE_GROUP_AL,DASHBOARD_SITE_GROUP_AL,DEV_BASE_DB,RV,LNKSAT_DASHBOARD_SITE_GROUP_AL,STITCH_LANDING_DB,ALICE_ALICE,DASHBOARD_HOTEL_GROUP,RECORD_DASHBOARD_SITE_GROUP_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
HE,ACCOUNT_HE,ACCOUNT_HE,DEV_BASE_DB,RV,SAT_ACCOUNT_HE,STITCH_LANDING_DB,HE,WEBACCT,RECORD_ACCOUNT_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
HE,ACCOUNT_SITE_HE,ACCOUNT_SITE_HE,DEV_BASE_DB,RV,LNK_ACCOUNT_SITE,STITCH_LANDING_DB,HE,WEBACCT_HOTEL,RECORD_ACCOUNT_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
